Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Dynamic A Acc,25/03/2019,GB00B1LB2Z79B1LB2Z7,,80.98
T. Bailey Dynamic A Acc,26/03/2019,GB00B1LB2Z79B1LB2Z7,,80.47
T. Bailey Dynamic A Acc,27/03/2019,GB00B1LB2Z79B1LB2Z7,,80.67
T. Bailey Dynamic A Acc,28/03/2019,GB00B1LB2Z79B1LB2Z7,,80.71
T. Bailey Dynamic A Acc,29/03/2019,GB00B1LB2Z79B1LB2Z7,,80.83
T. Bailey Dynamic A Acc,01/04/2019,GB00B1LB2Z79B1LB2Z7,,81.09
T. Bailey Dynamic A Acc,02/04/2019,GB00B1LB2Z79B1LB2Z7,,81.23
T. Bailey Dynamic A Acc,03/04/2019,GB00B1LB2Z79B1LB2Z7,,81.38
T. Bailey Dynamic A Acc,04/04/2019,GB00B1LB2Z79B1LB2Z7,,81.47
T. Bailey Dynamic A Acc,05/04/2019,GB00B1LB2Z79B1LB2Z7,,81.47
T. Bailey Dynamic A Acc,08/04/2019,GB00B1LB2Z79B1LB2Z7,,81.67
T. Bailey Dynamic A Acc,09/04/2019,GB00B1LB2Z79B1LB2Z7,,81.81
T. Bailey Dynamic A Acc,10/04/2019,GB00B1LB2Z79B1LB2Z7,,81.78
T. Bailey Dynamic A Acc,11/04/2019,GB00B1LB2Z79B1LB2Z7,,81.78
T. Bailey Dynamic A Acc,12/04/2019,GB00B1LB2Z79B1LB2Z7,,81.8
T. Bailey Dynamic A Acc,15/04/2019,GB00B1LB2Z79B1LB2Z7,,81.87
T. Bailey Dynamic A Acc,16/04/2019,GB00B1LB2Z79B1LB2Z7,,81.93
T. Bailey Dynamic A Acc,17/04/2019,GB00B1LB2Z79B1LB2Z7,,81.97
T. Bailey Dynamic A Acc,18/04/2019,GB00B1LB2Z79B1LB2Z7,,81.98
T. Bailey Dynamic A Acc,23/04/2019,GB00B1LB2Z79B1LB2Z7,,81.86
T. Bailey Dynamic A Acc,24/04/2019,GB00B1LB2Z79B1LB2Z7,,81.95
T. Bailey Dynamic A Acc,25/04/2019,GB00B1LB2Z79B1LB2Z7,,82.16
T. Bailey Dynamic A Acc,26/04/2019,GB00B1LB2Z79B1LB2Z7,,82.11
T. Bailey Dynamic A Acc,29/04/2019,GB00B1LB2Z79B1LB2Z7,,82.14
T. Bailey Dynamic A Acc,30/04/2019,GB00B1LB2Z79B1LB2Z7,,82.26
T. Bailey Dynamic A Acc,01/05/2019,GB00B1LB2Z79B1LB2Z7,,82.25
T. Bailey Dynamic A Acc,02/05/2019,GB00B1LB2Z79B1LB2Z7,,82.08
T. Bailey Dynamic A Acc,03/05/2019,GB00B1LB2Z79B1LB2Z7,,81.92
T. Bailey Dynamic A Acc,07/05/2019,GB00B1LB2Z79B1LB2Z7,,81.91
T. Bailey Dynamic A Acc,08/05/2019,GB00B1LB2Z79B1LB2Z7,,81.65
T. Bailey Dynamic A Acc,09/05/2019,GB00B1LB2Z79B1LB2Z7,,81.51
T. Bailey Dynamic A Acc,10/05/2019,GB00B1LB2Z79B1LB2Z7,,81.42
T. Bailey Dynamic A Acc,13/05/2019,GB00B1LB2Z79B1LB2Z7,,81.4
T. Bailey Dynamic A Acc,14/05/2019,GB00B1LB2Z79B1LB2Z7,,81.22
T. Bailey Dynamic A Acc,15/05/2019,GB00B1LB2Z79B1LB2Z7,,81.17
T. Bailey Dynamic A Acc,16/05/2019,GB00B1LB2Z79B1LB2Z7,,81.39
T. Bailey Dynamic A Acc,17/05/2019,GB00B1LB2Z79B1LB2Z7,,81.54
T. Bailey Dynamic A Acc,20/05/2019,GB00B1LB2Z79B1LB2Z7,,81.55
T. Bailey Dynamic A Acc,21/05/2019,GB00B1LB2Z79B1LB2Z7,,81.52
T. Bailey Dynamic A Acc,22/05/2019,GB00B1LB2Z79B1LB2Z7,,81.57
T. Bailey Dynamic A Acc,23/05/2019,GB00B1LB2Z79B1LB2Z7,,81.6
T. Bailey Dynamic A Acc,24/05/2019,GB00B1LB2Z79B1LB2Z7,,81.59
T. Bailey Dynamic A Acc,28/05/2019,GB00B1LB2Z79B1LB2Z7,,81.76
T. Bailey Dynamic A Acc,29/05/2019,GB00B1LB2Z79B1LB2Z7,,81.8
T. Bailey Dynamic A Acc,30/05/2019,GB00B1LB2Z79B1LB2Z7,,81.57
T. Bailey Dynamic A Acc,31/05/2019,GB00B1LB2Z79B1LB2Z7,,81.55
T. Bailey Dynamic A Acc,03/06/2019,GB00B1LB2Z79B1LB2Z7,,81.64
T. Bailey Dynamic A Acc,04/06/2019,GB00B1LB2Z79B1LB2Z7,,81.62
T. Bailey Dynamic A Acc,05/06/2019,GB00B1LB2Z79B1LB2Z7,,81.71
T. Bailey Dynamic A Acc,06/06/2019,GB00B1LB2Z79B1LB2Z7,,81.78
T. Bailey Dynamic A Acc,07/06/2019,GB00B1LB2Z79B1LB2Z7,,81.86
T. Bailey Dynamic A Acc,10/06/2019,GB00B1LB2Z79B1LB2Z7,,81.99
T. Bailey Dynamic A Acc,11/06/2019,GB00B1LB2Z79B1LB2Z7,,82.31
T. Bailey Dynamic A Acc,12/06/2019,GB00B1LB2Z79B1LB2Z7,,82.46
T. Bailey Dynamic A Acc,13/06/2019,GB00B1LB2Z79B1LB2Z7,,82.35
T. Bailey Dynamic A Acc,14/06/2019,GB00B1LB2Z79B1LB2Z7,,82.48
T. Bailey Dynamic A Acc,17/06/2019,GB00B1LB2Z79B1LB2Z7,,82.34
T. Bailey Dynamic A Acc,18/06/2019,GB00B1LB2Z79B1LB2Z7,,82.4
T. Bailey Dynamic A Acc,19/06/2019,GB00B1LB2Z79B1LB2Z7,,82.61
T. Bailey Dynamic A Acc,20/06/2019,GB00B1LB2Z79B1LB2Z7,,82.78
T. Bailey Dynamic A Acc,21/06/2019,GB00B1LB2Z79B1LB2Z7,,82.89
T. Bailey Dynamic A Acc,24/06/2019,GB00B1LB2Z79B1LB2Z7,,82.86
T. Bailey Dynamic A Acc,25/06/2019,GB00B1LB2Z79B1LB2Z7,,82.97
T. Bailey Dynamic A Acc,26/06/2019,GB00B1LB2Z79B1LB2Z7,,82.94
T. Bailey Dynamic A Acc,27/06/2019,GB00B1LB2Z79B1LB2Z7,,82.76
T. Bailey Dynamic A Acc,28/06/2019,GB00B1LB2Z79B1LB2Z7,,82.64
T. Bailey Dynamic A Acc,01/07/2019,GB00B1LB2Z79B1LB2Z7,,82.66
T. Bailey Dynamic A Acc,02/07/2019,GB00B1LB2Z79B1LB2Z7,,82.83
T. Bailey Dynamic A Acc,03/07/2019,GB00B1LB2Z79B1LB2Z7,,83.1
T. Bailey Dynamic A Acc,04/07/2019,GB00B1LB2Z79B1LB2Z7,,83.32
T. Bailey Dynamic A Acc,05/07/2019,GB00B1LB2Z79B1LB2Z7,,83.42
T. Bailey Dynamic A Acc,08/07/2019,GB00B1LB2Z79B1LB2Z7,,83.38
T. Bailey Dynamic A Acc,09/07/2019,GB00B1LB2Z79B1LB2Z7,,83.08
T. Bailey Dynamic A Acc,10/07/2019,GB00B1LB2Z79B1LB2Z7,,83.04
T. Bailey Dynamic A Acc,11/07/2019,GB00B1LB2Z79B1LB2Z7,,83.23
T. Bailey Dynamic A Acc,12/07/2019,GB00B1LB2Z79B1LB2Z7,,83.2
T. Bailey Dynamic A Acc,15/07/2019,GB00B1LB2Z79B1LB2Z7,,83.19
T. Bailey Dynamic A Acc,16/07/2019,GB00B1LB2Z79B1LB2Z7,,83.15
T. Bailey Dynamic A Acc,17/07/2019,GB00B1LB2Z79B1LB2Z7,,83.28
T. Bailey Dynamic A Acc,18/07/2019,GB00B1LB2Z79B1LB2Z7,,83.31
T. Bailey Dynamic A Acc,19/07/2019,GB00B1LB2Z79B1LB2Z7,,83.28
T. Bailey Dynamic A Acc,22/07/2019,GB00B1LB2Z79B1LB2Z7,,83.22
T. Bailey Dynamic A Acc,23/07/2019,GB00B1LB2Z79B1LB2Z7,,83.18
T. Bailey Dynamic A Acc,24/07/2019,GB00B1LB2Z79B1LB2Z7,,83.21
T. Bailey Dynamic A Acc,25/07/2019,GB00B1LB2Z79B1LB2Z7,,83.18
T. Bailey Dynamic A Acc,26/07/2019,GB00B1LB2Z79B1LB2Z7,,83.18
T. Bailey Dynamic A Acc,29/07/2019,GB00B1LB2Z79B1LB2Z7,,83.27
T. Bailey Dynamic A Acc,30/07/2019,GB00B1LB2Z79B1LB2Z7,,83.51
T. Bailey Dynamic A Acc,31/07/2019,GB00B1LB2Z79B1LB2Z7,,83.6
T. Bailey Dynamic A Acc,01/08/2019,GB00B1LB2Z79B1LB2Z7,,83.38
T. Bailey Dynamic A Acc,02/08/2019,GB00B1LB2Z79B1LB2Z7,,83.21
T. Bailey Dynamic A Acc,05/08/2019,GB00B1LB2Z79B1LB2Z7,,83.13
T. Bailey Dynamic A Acc,06/08/2019,GB00B1LB2Z79B1LB2Z7,,82.73
T. Bailey Dynamic A Acc,07/08/2019,GB00B1LB2Z79B1LB2Z7,,82.61
T. Bailey Dynamic A Acc,08/08/2019,GB00B1LB2Z79B1LB2Z7,,82.82
T. Bailey Dynamic A Acc,09/08/2019,GB00B1LB2Z79B1LB2Z7,,83.05
T. Bailey Dynamic A Acc,12/08/2019,GB00B1LB2Z79B1LB2Z7,,83.27
T. Bailey Dynamic A Acc,13/08/2019,GB00B1LB2Z79B1LB2Z7,,83.31
T. Bailey Dynamic A Acc,14/08/2019,GB00B1LB2Z79B1LB2Z7,,83.1
T. Bailey Dynamic A Acc,15/08/2019,GB00B1LB2Z79B1LB2Z7,,82.96
T. Bailey Dynamic A Acc,16/08/2019,GB00B1LB2Z79B1LB2Z7,,82.73
T. Bailey Dynamic A Acc,19/08/2019,GB00B1LB2Z79B1LB2Z7,,82.8
T. Bailey Dynamic A Acc,20/08/2019,GB00B1LB2Z79B1LB2Z7,,82.88
T. Bailey Dynamic A Acc,21/08/2019,GB00B1LB2Z79B1LB2Z7,,82.99
T. Bailey Dynamic A Acc,22/08/2019,GB00B1LB2Z79B1LB2Z7,,82.92
T. Bailey Dynamic A Acc,23/08/2019,GB00B1LB2Z79B1LB2Z7,,82.86
T. Bailey Dynamic A Acc,27/08/2019,GB00B1LB2Z79B1LB2Z7,,82.82
T. Bailey Dynamic A Acc,28/08/2019,GB00B1LB2Z79B1LB2Z7,,82.91
T. Bailey Dynamic A Acc,29/08/2019,GB00B1LB2Z79B1LB2Z7,,83.03
T. Bailey Dynamic A Acc,30/08/2019,GB00B1LB2Z79B1LB2Z7,,83.1
T. Bailey Dynamic A Acc,02/09/2019,GB00B1LB2Z79B1LB2Z7,,83.19
T. Bailey Dynamic A Acc,03/09/2019,GB00B1LB2Z79B1LB2Z7,,83.28
T. Bailey Dynamic A Acc,04/09/2019,GB00B1LB2Z79B1LB2Z7,,83.32
T. Bailey Dynamic A Acc,05/09/2019,GB00B1LB2Z79B1LB2Z7,,83.45
T. Bailey Dynamic A Acc,06/09/2019,GB00B1LB2Z79B1LB2Z7,,83.33
T. Bailey Dynamic A Acc,09/09/2019,GB00B1LB2Z79B1LB2Z7,,83.27
T. Bailey Dynamic A Acc,10/09/2019,GB00B1LB2Z79B1LB2Z7,,83.11
T. Bailey Dynamic A Acc,11/09/2019,GB00B1LB2Z79B1LB2Z7,,82.81
T. Bailey Dynamic A Acc,12/09/2019,GB00B1LB2Z79B1LB2Z7,,82.7
T. Bailey Dynamic A Acc,13/09/2019,GB00B1LB2Z79B1LB2Z7,,82.78
T. Bailey Dynamic A Acc,16/09/2019,GB00B1LB2Z79B1LB2Z7,,82.75
T. Bailey Dynamic A Acc,17/09/2019,GB00B1LB2Z79B1LB2Z7,,82.49
T. Bailey Dynamic A Acc,18/09/2019,GB00B1LB2Z79B1LB2Z7,,82.4
T. Bailey Dynamic A Acc,19/09/2019,GB00B1LB2Z79B1LB2Z7,,82.52
T. Bailey Dynamic A Acc,20/09/2019,GB00B1LB2Z79B1LB2Z7,,82.58
T. Bailey Dynamic A Acc,23/09/2019,GB00B1LB2Z79B1LB2Z7,,82.71
T. Bailey Dynamic A Acc,24/09/2019,GB00B1LB2Z79B1LB2Z7,,82.78
T. Bailey Dynamic A Acc,25/09/2019,GB00B1LB2Z79B1LB2Z7,,82.84
T. Bailey Dynamic A Acc,26/09/2019,GB00B1LB2Z79B1LB2Z7,,82.61
T. Bailey Dynamic A Acc,27/09/2019,GB00B1LB2Z79B1LB2Z7,,82.69
T. Bailey Dynamic A Acc,30/09/2019,GB00B1LB2Z79B1LB2Z7,,82.71
T. Bailey Dynamic A Acc,01/10/2019,GB00B1LB2Z79B1LB2Z7,,82.51
