Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Growth A Acc,09/07/2019,GB0009346486,934648,173.18
T. Bailey Growth A Acc,10/07/2019,GB0009346486,934648,172.61
T. Bailey Growth A Acc,11/07/2019,GB0009346486,934648,172.82
T. Bailey Growth A Acc,12/07/2019,GB0009346486,934648,172.87
T. Bailey Growth A Acc,15/07/2019,GB0009346486,934648,172.54
T. Bailey Growth A Acc,16/07/2019,GB0009346486,934648,172.76
T. Bailey Growth A Acc,17/07/2019,GB0009346486,934648,173.6
T. Bailey Growth A Acc,18/07/2019,GB0009346486,934648,173.51
T. Bailey Growth A Acc,19/07/2019,GB0009346486,934648,172.34
T. Bailey Growth A Acc,22/07/2019,GB0009346486,934648,172.57
T. Bailey Growth A Acc,23/07/2019,GB0009346486,934648,172.7
T. Bailey Growth A Acc,24/07/2019,GB0009346486,934648,173.25
T. Bailey Growth A Acc,25/07/2019,GB0009346486,934648,173.37
T. Bailey Growth A Acc,26/07/2019,GB0009346486,934648,173.88
T. Bailey Growth A Acc,29/07/2019,GB0009346486,934648,174.05
T. Bailey Growth A Acc,30/07/2019,GB0009346486,934648,175.37
T. Bailey Growth A Acc,31/07/2019,GB0009346486,934648,176.1
T. Bailey Growth A Acc,01/08/2019,GB0009346486,934648,176.04
T. Bailey Growth A Acc,02/08/2019,GB0009346486,934648,175
T. Bailey Growth A Acc,05/08/2019,GB0009346486,934648,173.87
T. Bailey Growth A Acc,06/08/2019,GB0009346486,934648,171.47
T. Bailey Growth A Acc,07/08/2019,GB0009346486,934648,169.97
T. Bailey Growth A Acc,08/08/2019,GB0009346486,934648,170.38
T. Bailey Growth A Acc,09/08/2019,GB0009346486,934648,171.23
T. Bailey Growth A Acc,12/08/2019,GB0009346486,934648,172.68
T. Bailey Growth A Acc,13/08/2019,GB0009346486,934648,172.33
T. Bailey Growth A Acc,14/08/2019,GB0009346486,934648,171.1
T. Bailey Growth A Acc,15/08/2019,GB0009346486,934648,171.3
T. Bailey Growth A Acc,16/08/2019,GB0009346486,934648,169.32
T. Bailey Growth A Acc,19/08/2019,GB0009346486,934648,169.22
T. Bailey Growth A Acc,20/08/2019,GB0009346486,934648,170.6
T. Bailey Growth A Acc,21/08/2019,GB0009346486,934648,171.42
T. Bailey Growth A Acc,22/08/2019,GB0009346486,934648,171.22
T. Bailey Growth A Acc,23/08/2019,GB0009346486,934648,170.82
T. Bailey Growth A Acc,27/08/2019,GB0009346486,934648,169.63
T. Bailey Growth A Acc,28/08/2019,GB0009346486,934648,169.02
T. Bailey Growth A Acc,29/08/2019,GB0009346486,934648,169.14
T. Bailey Growth A Acc,30/08/2019,GB0009346486,934648,169.57
T. Bailey Growth A Acc,02/09/2019,GB0009346486,934648,171.05
T. Bailey Growth A Acc,03/09/2019,GB0009346486,934648,171.72
T. Bailey Growth A Acc,04/09/2019,GB0009346486,934648,171.35
T. Bailey Growth A Acc,05/09/2019,GB0009346486,934648,170.84
T. Bailey Growth A Acc,06/09/2019,GB0009346486,934648,171.18
T. Bailey Growth A Acc,09/09/2019,GB0009346486,934648,171.62
